time;x;y;z
1637978179.513973;+0.003;-0.002;-0.002
1637978179.73399;+0.003;-0.002;-0.002
1637978179.953945;+0.002;-0.002;-0.001
1637978180.172916;+0.002;-0.001;-0.002
1637978180.392893;+0.002;-0.002;-0.001
1637978180.612935;+0.003;-0.002;-0.002
1637978180.834038;+0.002;-0.002;-0.002
1637978181.052963;+0.003;-0.002;-0.002
1637978181.272891;+0.002;-0.002;-0.001
1637978181.492886;+0.003;-0.001;-0.002
1637978181.712866;+0.002;-0.002;-0.001
1637978181.932911;+0.003;-0.002;-0.001
1637978182.15288;+0.002;-0.002;-0.002
1637978182.372872;+0.002;-0.003;-0.002
1637978182.593086;+0.002;-0.002;-0.002
1637978182.812978;+0.001;-0.002;-0.001
1637978183.032906;+0.003;-0.002;-0.001
1637978183.252874;+0.002;-0.002;-0.001
1637978183.472886;+0.002;-0.003;-0.002
1637978183.692905;+0.002;-0.001;-0.001
1637978183.9129;+0.002;-0.001;-0.002
1637978184.132811;+0.002;-0.002;-0.002
1637978184.352815;+0.002;-0.002;-0.001
1637978184.572818;+0.002;-0.001;-0.001
1637978184.792579;+0.003;-0.002;-0.001
1637978185.01266;+0.003;-0.002;-0.002
1637978185.232828;+0.002;-0.001;-0.001
1637978185.452813;+0.003;-0.002;-0.001
1637978185.673;+0.002;-0.002;-0.001
1637978185.892913;+0.003;-0.003;-0.002
1637978186.112831;+0.002;-0.002;-0.002
1637978186.332925;+0.002;-0.002;-0.002
1637978186.552827;+0.001;-0.002;-0.002
1637978186.772806;+0.002;-0.002;-0.002
1637978186.992944;+0.003;-0.002;-0.002
1637978187.21289;+0.002;-0.002;-0.002
1637978187.432945;+0.002;-0.003;-0.002
1637978187.651849;+0.002;-0.001;-0.001
1637978187.871993;+0.002;-0.002;-0.002
1637978188.091835;+0.002;-0.002;-0.001
1637978188.311824;+0.002;-0.002;-0.002
1637978188.531817;+0.002;-0.001;-0.003
1637978188.751917;+0.003;-0.002;-0.002
1637978188.971934;+0.002;-0.003;-0.002
1637978189.19188;+0.002;-0.002;-0.001
1637978189.411835;+0.003;-0.001;-0.002
1637978189.63182;+0.002;-0.002;-0.001
1637978189.851961;+0.002;-0.003;-0.001
1637978190.071192;+0.002;-0.003;-0.002
1637978190.281477;+0.002;-0.001;-0.002
1637978190.501919;+0.003;-0.002;-0.002
1637978190.721785;+0.002;-0.002;-0.002
1637978190.941568;+0.002;-0.002;-0.002
1637978191.1618;+0.002;-0.002;-0.001
1637978191.381824;+0.002;-0.002;-0.001
1637978191.601817;+0.003;-0.002;-0.001
1637978191.82197;+0.002;-0.002;-0.002
1637978192.04196;+0.003;-0.002;-0.002
1637978192.261869;+0.002;-0.001;-0.001
1637978192.481832;+0.002;-0.002;-0.002
1637978192.701828;+0.002;-0.001;-0.001
1637978192.921979;+0.003;-0.002;-0.002
1637978193.141389;+0.002;-0.002;-0.001
1637978193.361371;+0.002;-0.002;-0.002
1637978193.581832;+0.002;-0.001;-0.001
1637978193.801824;+0.003;-0.001;-0.001
1637978194.021902;+0.002;-0.001;-0.002
1637978194.241822;+0.002;-0.003;-0.002
1637978194.461782;+0.003;-0.001;-0.002
1637978194.681843;+0.003;-0.002;-0.001
1637978194.901795;+0.002;-0.002;-0.001
1637978195.121119;+0.002;-0.002;-0.002
1637978195.340831;+0.002;-0.002;-0.002
1637978195.56082;+0.002;-0.002;-0.002
1637978195.780904;+0.002;-0.002;-0.002
1637978196.000824;+0.002;-0.001;-0.001
1637978196.22064;+0.003;-0.002;-0.001
1637978196.440818;+0.002;-0.001;-0.001
1637978196.660829;+0.003;-0.002;-0.001
1637978196.880833;+0.003;-0.002;-0.001
1637978197.101078;+0.002;-0.001;-0.002
1637978197.320957;+0.002;-0.001;-0.002
1637978197.540842;+0.001;-0.002;-0.002
1637978197.760881;+0.002;-0.001;-0.001
1637978197.980898;+0.002;-0.001;-0.002
1637978198.200807;+0.003;-0.002;-0.001
1637978198.421002;+0.002;-0.002;-0.002
1637978198.640854;+0.001;-0.001;-0.001
1637978198.860921;+0.003;-0.002;-0.002
1637978199.080519;+0.003;-0.001;-0.002
1637978199.300333;+0.003;-0.001;-0.001
1637978199.520743;+0.002;-0.001;-0.003
1637978199.740849;+0.002;-0.002;-0.001
1637978199.960806;+0.003;-0.002;-0.002
1637978200.180838;+0.002;-0.002;-0.001
1637978200.400908;+0.003;-0.001;-0.002
1637978200.620843;+0.003;-0.002;-0.002
1637978200.840787;+0.002;-0.002;-0.003
1637978201.060896;+0.002;-0.002;-0.003
1637978201.28082;+0.002;-0.001;-0.001
1637978201.500953;+0.003;-0.001;-0.002
1637978201.720824;+0.002;-0.001;-0.002
1637978201.940762;+0.002;-0.002;-0.002
1637978202.160824;+0.002;-0.003;-0.002
1637978202.380793;+0.002;-0.001;-0.001
1637978202.599919;+0.002;-0.002;-0.002
1637978202.819879;+0.003;-0.001;-0.001
1637978203.039865;+0.003;-0.002;-0.002
1637978203.259846;+0.002;-0.001;-0.002
1637978203.47991;+0.003;-0.002;-0.002
1637978203.699848;+0.003;-0.002;-0.002
1637978203.919803;+0.003;-0.001;-0.002
1637978204.139789;+0.002;-0.003;-0.002
1637978204.35943;+0.002;-0.002;-0.002
1637978204.579748;+0.002;-0.002;-0.002
1637978204.799768;+0.003;-0.001;-0.003
1637978205.019736;+0.002;-0.002;-0.001
1637978205.239876;+0.002;-0.002;-0.001
1637978205.459796;+0.002;-0.002;-0.001
1637978205.679853;+0.002;-0.002;-0.001
1637978205.899786;+0.002;-0.002;-0.002
1637978206.1199;+0.002;-0.001;-0.001
1637978206.339798;+0.002;-0.001;-0.002
1637978206.559513;+0.002;-0.003;-0.002
1637978206.799421;+0.001;-0.002;-0.002
1637978207.01978;+0.003;-0.003;-0.002
1637978207.239851;+0.002;-0.001;-0.002
1637978207.459805;+0.002;-0.002;-0.001
1637978207.679814;+0.003;-0.002;-0.002
1637978207.899738;+0.002;-0.003;-0.002
1637978208.120051;+0.003;-0.002;-0.001
1637978208.339725;+0.003;-0.001;-0.001
1637978208.559754;+0.002;-0.002;-0.002
1637978208.779779;+0.002;-0.001;-0.001
1637978208.999794;+0.002;-0.002;-0.001
1637978209.219866;+0.003;-0.002;-0.002
1637978209.439875;+0.002;-0.002;-0.003
1637978209.65979;+0.002;-0.001;-0.001
1637978209.879826;+0.002;-0.002;-0.001
1637978210.098731;+0.003;-0.001;-0.002
1637978210.318731;+0.002;-0.002;-0.002
1637978210.538705;+0.003;-0.001;-0.002
1637978210.75873;+0.003;-0.001;-0.001
1637978210.9787;+0.002;-0.002;-0.002
1637978211.198845;+0.002;-0.001;-0.002
1637978211.418681;+0.002;-0.002;-0.002
1637978211.638713;+0.002;-0.001;-0.002
1637978211.858683;+0.002;-0.001;-0.002
1637978212.078815;+0.003;-0.002;-0.002
1637978212.298697;+0.002;-0.001;-0.001
1637978212.518419;+0.002;-0.002;-0.002
1637978212.738798;+0.002;-0.001;-0.002
1637978212.958692;+0.003;-0.001;-0.002
1637978213.178823;+0.002;-0.002;-0.002
1637978213.398772;+0.002;-0.002;-0.002
1637978213.618818;+0.002;-0.002;-0.001
1637978213.838834;+0.003;-0.001;-0.002
1637978214.058814;+0.003;-0.001;-0.002
1637978214.278804;+0.002;-0.002;-0.001
1637978214.498772;+0.003;-0.002;-0.001
1637978214.718796;+0.002;-0.002;-0.002
1637978214.938788;+0.002;-0.001;-0.002
1637978215.158898;+0.002;-0.001;-0.001
1637978215.378724;+0.003;-0.001;-0.002
1637978215.598356;+0.003;-0.001;-0.002
1637978215.818736;+0.003;-0.001;-0.003
1637978216.038734;+0.003;-0.001;-0.002
1637978216.258787;+0.003;-0.002;-0.002
1637978216.478727;+0.004;-0.002;-0.002
1637978216.698786;+0.003;-0.002;-0.002
1637978216.918826;+0.002;-0.002;-0.002
1637978217.138752;+0.002;-0.002;-0.001
